class	path	line	text
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_source_bridge_v7_20260525_142149	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_enterprise_css_20260525_115628	423	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_evidence_v10_20260525_143909	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_chunk_observatory_v16_20260525_151906	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_surface_v3_worker_20260525_134553	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_instrument_suite_v5_20260525_141512	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_surface_v2_20260525_120055	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_instrument_lab_20260525_111803	423	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_zero_forbidden	423	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_instrument_dock_v4_20260525_140914	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_operational_deck_v15_lazy_20260525_151305	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_true_spectrum_20260525_113619	423	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_source_runtime_v8_20260525_142516	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_bridge_readiness_v9_20260525_143127	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_api8000_20260517_143049	423	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
ACTIVE_REACT_DEBT	frontend/src/app/main.tsx	425	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
FALSE_POSITIVE_BACKUP	frontend/src/app/main.tsx.bak_rf_operational_deck_v14_auto_20260525_150553	424	                  Restricted EW/SIGINT/advanced red-team functions remain locked. This section is a controlled placeholder for future PKI, smartcard, mTLS, RBAC/ABAC, immutable audit and RF safety interlock integration.
